,0
268,xochitl
269,xochitl
270,xochitl unico gano
271,entonces wey xochitl maynez chocolate
272,xochitl
273,dijieron xochitl creo maynez
274,mucha gente dice xochitl
275,xochitl
276,xochitl
277,xochitl
278,xochitl favor
279,xochitl
280,xochitl
281,xochilt proxima presidenta
282,xochitl gano dijeron noticias
283,gano xochitl maynez favor muerta ganaron
284,xochil
285,p mejor xochil peor mainez meme
286,xotchil
287,gano xochilt lamentablemente
288,menos xochilt ose corrupta
289,xochitl patrona maynez
290,definitivamente xochitl llevo ocasion
291,xochitl
292,si queremos terminar peor mejor opcion maynez xochitl
293,xochilt ma bn
294,creo arriba xochitl
295,mato si pri
296,estaria peor ganara xochitl
297,si llega ganar xochitl mexico sabra fraude electoral nuevo
298,neta malo gane cientifica vatos van votar maynez xochitl
299,si definitivamente ma preparada solamente fachada gobierno idea comunistas llevaria pais venezuela cuba mejor opcion xochilt
300,pues tres menos peor va votar xochitl maynez
301,vv bien malo gane vieja xochitl
302,t m mal plan si wey
303,ay q xochil choca
304,realidad wey hecho absolutamente payasa xochilt
305,xochilt
306,si va debatir contestar preguntas xochitl
307,xochitl
308,xochitl van humillando puede sola
309,xochil voy perdiendo
310,nooo tambien xochitl xochitl
311,entiendan q solo dije pq shippeo clau xochitl
312,xochitl
313,bana lanxochitl
314,aunado siquiera mostro cochitl imagen religion meme famoso twitter
315,claro dudo hablaba dijo xochitl imagen
316,secta adoran sta mte si sabias parece tepito habia altar enorme imagen xochitl menos solo importa dijo
317,mexico laico libertad culto playeras hizo persona partido xochitl sacar busca voto persona mayores dijo panista taylor swift
318,hable camisas hable acerca dijo xochitl
319,dijo xochitl camisas ve grafica
320,ok mucha ayuda respuesta investigue datos facilitaste abril entiendo xochitl menciona si malo creer sta mte
321,racismo si discriminacion supone mexico libertad culto basicamente dejo claro q candidata pan
322,racismo clasismo pan super catolico gobierno debe ser laico
323,racismo tal mal parte xochitl decir respetar toda religiones
324,referia xochitl perdio devotos santa
325,maynes xochitl siento toman enserio hajdjdhha
326,pues practicamente mismo q paso mid pri votaron porq pri
327,nombre trae mismas propuestas xochitl gracias
328,igual va ganar xochitl
329,si prefiero baje votos xochil solo ver si ponen alguien mejor preparada
330,xochitl fastiosa maynez
331,asesorando xochitl coranla favor va ganar peor pormlo menos va quedar tan mal
332,verdad digo igual quiero gane xochitl quedando super mal
333,xochitl
334,pues unica buena modo votamos xochitl maynez
335,sinceramente maynez xochitl em
336,ver xochitl va llevar ruina pena nieto maynez ahi quiere aumentar horas clase sheimbaun dice menos peor
337,peor xochil
338,claudia si cientifica muchas cosas ma si deben botar xochitl
339,q queria poner escuelas tiempo completo xochil
340,neel xochil
341,puede hacer maynez ma alto puesto q puede hacer
342,visto va aumentar horas escuelas cree menciono plan agregar turno matutino vespertino toda escuelas entendi
343,maynez propuesta xochilt dijo va aumentar horas escuela aprendamos ma
344,razonamiento matematico ma alto razonamiento lecturaahora excelente ingeniera ahi importancia examenes
345,xochitl
346,bueeee pues dire mientras gane xochitl to bn
347,xochitl
348,xochil parece nina chiquita
349,xochil bien inteligente
350,shipsclaudia xochitlclaudia xochitl
351,nope xochil
352,si vieron debate vieron recuerdo dijo xochitl nunca dijo maynes
353,jaja enserio piensa solo talvez gente floja cuales solo van escuela pq obligadas padre quieren perjudicar aprender ma si buscamos estudiar
354,propuestas hace maynez inviables particular exactamente mismo xochitl cuestion privatizar energia petroleo buen demagogo habla mismo
355,maynez milagro gana realidad dividir votos atraer pri pan evitar morena pierda
356,xochitl gallina escapa xd
357,xochitl
358,refiero xochitl dice rinde culto santa muerte
359,objetivo xochitl gane obstaculo xochitl
360,falto parte dice xochitl q ciclista
361,justo hace semana vi video gente usa compra camiseta pusieron noma falta vea xochitl miren
362,da risa xochitl
363,cuales propuestas dijo casi mismo debate pasado solo trataba defenderse tirarle xochitl jaksjaj
364,xochil iba cotorrear
365,supone xochitl puede pronunciar r
366,casi casi habla france xochil
367,si eligen xochil
368,neta ahora si botar
369,ahora imagina si gana xochitl xx
370,claudia maynes talvez xochitl mdr
371,pa gane xochilt perdamos pemex peso mexicano pierda valor
372,xochitl quiero gane da ternura
373,tsu xochitl quiero gane da ternura
374,ay xochilt santita jajaja
375,pina yoonmin sahval morfre jajsjsjajjajsja xochitl re agresiva
376,mientras xochitl
377,pues ma seguidores xochitl
378,suena ninguna posibilidad unica quitarle votos xochitlasi piensen si desperdician voto
379,si votas maynes medianamente bien nm mijo xochitl encerio cres persona actitud primaria debe ser presidente
380,acabas describir xochitl jajajajja cres decir dama hielo enves dar propuestas correcto
381,q esperas cambiar xochitl pena nieto tambien pri paso dolar parece si hablamos gustavo diaz ordas tambien pri esperas pase xochitl
382,ve precio dolar comparacion gobiernos dado becas cosa presidentes pri robaban gobiernos pasados tantos asesinatos prian
383,mija yaes misma mrd toda politica mexico pri pan dioooos jajajajaj
384,hace bien chistoso sigues criticando pri pan mismo gabinete morena
385,gente rica san pedro habia demasiadas casas valen ma toda casa incluyendo muebles apoyaban xochitl
386,viejitos xochitl ofendio mayores ano patrimonio
387,pan robaba ma susnproyectos inservibles
388,identifican inteligencia xochitl jajaja
389,puajajajajajajaja hace creer ratera xochitl puajajajajajaja
390,voy ningun candidato solo digo xochil opcion parece si va
391,tambien mismos partido pri expresidentes quieren q vuelva humilde pension
392,ami ma da xochil
393,xochitl
394,ma xochitl peores we
395,modos hablando xochitl
396,pues xochitl maynez mejor opcion igual corruptos
397,xochitl ve buena capacidad sobrellevar pais maynez quieren hacer dar voto simple meme asi puede
398,morenitas olvidaste paso linea metro pasaras alto mugre beca
399,conozco mucha gente obligada votar pri pq trabajo exige dudo votantes
400,xochitl peor opcion aveces comporta nina debate andaba haciende ninerias
401,maynez dejen llevar tik tok banda si echa ganas podria superara xochitl
402,si votan xochilt regresa epoca oscura pri si votan maynez serum nuevo pena nieto claudia idea ir
403,xochitl
404,pues obvio xotchil namas tire tire
405,wey pelean unica va pelear xochitl
406,xochitl
407,oye plan c aun abril
408,plan c c c cca
409,asta xochil gana
410,siendo sinceros ganar xochilt
411,amlo vez dije contrincantes aunque unan van ganar tal vez referia solo sino partido pri pan unieron
412,amlo vez dije contrincantes aunque unan van ganar tal vez referia solo sino partido pri pan unieron
413,xochitl trabajo fox calderon presidentes ma corruptos mexico
414,xochitl bien
415,simon pri pan prd corrupto
416,namames alguien pri pan prd jjajajaj
417,jajajaja venden voto pan peso
418,miedo gane xochitl
419,nmms apoco pri mejor
420,pues solo mira morena pan pri equipo dije mejor compresion lectora plis
421,ntp shavo botarga va ganar tranquis
422,igual xochitl hacer ma esperar termine
423,vota xochitl estan bien
424,si equivoco millones persona bastantes lograran superar si quiera xochil
425,xochitl
426,xochitl realidad
427,meme andante xochilt
428,xochitl xd
429,nooo xochitl
430,igual xochil vez cayo silla tonterias dice
431,meme xochitl jaja nora solo sirve hacer reir
432,vengo futuro meme xochitl
433,xochitl preguntarle muertos vez iba firmar recuadro maynez vez iba caer silla ect
434,mejor xochitl
435,cochitl basura jajaja
436,unico meme xochitl peor verdulera
437,visto ma me tonteras xochitl
438,espero gane claudia sinceramente maynez solo hizo popular cancioncita sumando pudo hacer propuestas xochitl simplemente pq pri peligro
439,uta pan peor xd conservadores discriminatorios abusan poder oponen progreso social rechazan igualdad mujeres varones mienten
440,nmms quiere votar xochitl
441,si sabes hecho xochitl busca hizo indigenas
442,preocupa gente vota maynez cancion aun ma preocupa gente va votar xochitl
443,xochitl prepotente disque progre beneficia
444,ma preferible xochitl
445,solo dire pri
446,pri decayo despues milagro mexicano si tenian buenos politico gobierno tampoco confiar basta decir endeudo ma anteriores odia
447,dijo va votar pri
448,xochitl galvez presidenta
449,mexico perdido si gana xochitl valemos ma vrg
450,ver gente quieren gane partido ma corrupto pri xochitl
451,verdad puedo creer tanta gente genuinamente vaya xochitl despues hizo debate
452,serio gente q apoya xochitl
453,gane xochitl doy bien servida
454,decirnos va votar xochitl decirnos va votar xochitl
455,xochitl galvez caballo alcanza gana proxima presidenta mexico
456,jajajaja jajajaja quisieran xochitl presidente
457,gente piensa votar xochitl quieren regresar presidentes robaron millones
458,q gane cualquiera excepto xochitl
459,xochitl arriba maynez da miedo
460,amlo vez dije contrincantes aunque unan van ganar tal vez referia solo sino partido pri pan unieron
461,preferencias xochil puro voto comprado
462,nmmn xochitl maynez xochitl solo limitado poner apodos decir estupideces
463,mentada madre persona votan xochitl siquiera deberia ser candita
464,peor maine va lugar pndjos creen marrana xochitl
465,xochitl sorprende
466,encuesta miente mainez dejo atras xochil primer debate
467,creo maynez puede tan abajo cochitl
468,debate ahora xochitl tercer lugar
469,plan c
470,plan c
471,apoco seguir legado ser titere sabes diferencia viendo xochitl si titere
472,robado dinero segun disque fuentes investigacion xdxdxd tremenda xochitl fin
473,checa acciones partido presenta liberal ma similitud pan lleno influencers imposible separar tt mayor red
474,maynez tipico prometo ganar trae plan hablo dime cualquier propuesta maynez digo va hacer matematicas filosoficamente
475,amlito
476,voto maynez voto basura xochitl galves precidenta
477,informate movimiento cuidado cochinero pan pri
478,seria voto desperdiciado maynez desafortunadamente opcion desperdiciemos votos voy xochitl
479,naaaaa pan joven
480,xochitl propone becas universal jovenes apoyo educacion motivarlos sigan estudiando
481,jajajajja si va maynez encima piojos xochilt
482,maynez posibilidades quitarle votos xochitl
483,xochitl tampoco
484,siendo pan pri mueven si pueden quieren
485,tambien votaria maynez claramente va ganar vdd menos peor xochitl
486,xochitl propone becas universales personal conozco senor sacrifican meter hijos escuelas privadas pagamos impuestos excepcion derecho becas
487,claro gobierno pena pri narco hacia jale habia apoyos seguro impuestos ma alto nunca
488,mc convergencia partido verde vende cualquiera candidato peje pan compran voto venden
489,pasado pri super red flag
490,pues mentiras dice maynez queja partido xochitl tonto jamas tirado directamente xochitl si pri pan cosa razon artos d dl viena politi
491,presidente ocuparia millones xochitl tambien ocupo ma
492,verdad justificando xochitl tambien corrupta ninguna do respetaron fechas empezar espectaculares gastaron millones
493,corrupta peor egoista imagina presidente solo maynez respeto clausulas pasa peleando inmaduras xochitl hablamos da verguenza
494,peor pri pan anteriormente
495,aun asi sigue siendo mejor xochitl galvez maynez
496,jakakajaja mismas encuestas xochitl maynez muestran supongo si real serian primeros criticar
497,pri pri corrupto
498,dividir voto arriba xochitl
499,mejor opcion desgracia cuenta presupuesto alto
500,solo contrapeso xochitl
501,defiende esposa calderon vendio reforma electrica pena sabemos vendieronetc xochitl hablemos
502,titere pusieron restar votos xochitl
503,votos prian seria aun menor si mala imagen agregas xochitl morena tambien conviene pues vuelve incondicionales simp modos voten x pri
504,mine puso amlopa restarle votos xochitl
505,informate porfavor maynez solo distraccion restarle xochitl
506,voto inutil xochitl va
507,misma dijiste voto inutil xochitl peor candidata confiar alguien supo administrar propio dinero campana
508,inutil seria votar xochitl
509,xd votarias xochitl galvez si peor claudia pues seguir actualidad votar partido resultados monterrey
510,pregunta seria haces plan serio
511,xochil nisiquera sabes diferenciar
512,estan obras pri ah existen
513,solo puede ganarle xochitl xd
514,miedo xochitl
515,correcto da miedo gane maynez xochitl lejos
516,ami xochil
517,da ma miedo xochilt
518,peor si xochitl gana
519,miedo gane xochitl
520,nombreee da terror q gane xochitl si miedo
521,miedomiedo gane xochitl
522,si experiencia pri siempre candidatos dotados sirve naranja hace
523,da miedo xochilt gane
524,pues parece ma bien pareces campana xochitl colgo apoyos sociales campana pues acuerdo
525,nadie quiere pri pan demostraron decadas sirven
526,piensa xochitl solucion enviada dios acabe mundo mejor
527,xochitl sabe hacer pastilla cree sabra hacer pais ser claro sinceros mujer gerente balneario colonia ahi
528,p siento va ganar xochitl
529,necesario fraude seres pensantes si perfecta xochitl menos peor
530,xochitl presidenta
531,indagar defiende calderon esposa voto favor reforma electrica pena sabemos vendieronetc opcion xochitl hablemos
532,creo maynez quedara segundo botarga quedara ro
533,claro q si mejor xochitl
534,si estarias haciendo sabrias perfectamente maynez pertenecio pri
535,igual obrador formo pri despues prd
536,xochitl
537,mainez mejor perfil propuestas tocaba ebrard robaron xochitl deberia declinar favor si quiere realmente salvarnos titere baum
538,ay votar botar maynes
539,botar dice
540,xochitl presidenta
541,xochitl
542,ayudan gratis pregunto ahora bien si quieren ayude ahora magicamente xochitl agarra programas sociales campana fin hipocresia
543,jajajaja dicen pri pan estabamos mejor
544,pues pan dio dinero ir meating
545,simon ma ano goberno pri pan murieron ma triple ademas metro construccion pri ahi nadie exigia mantenimiento
546,xochitl presidenta
547,chismes solo chismes viva plan c
548,voy xochilt
549,vamos xochitl
550,vamos xochitl
551,vamos xochitl
552,propuestas solo quedan votar alguien solo ma joven nota mc nuevo pan
553,xochitl vaaa
554,definitivamente si xochitl vamos pena nieto agachados gringo
555,extraordinario llama xochitl
556,creo quieras gane xochitl hermana secustrdr
557,aqui tiktok estan video dice xochitl luego niega tambien logros t
558,necesitamos salir votar datos existen va recuperando quiere decir xochitl presidente
559,datos va ganar xochitl
560,votantes muertos a bajo manga botarga
561,seguramente xochitl logro hablar muertos despues debate dijeron
562,segun dice maynes me superara xochitl
563,dice realmente va segundo lugar gracias dios xochilt va tercero
564,regresar ano prian haga bien pueblo vote forma manera plan c
565,aumento sueldo pasa sexenios demas proyectos mal hechos lleva haciendo prd libre votar quieras mientas
566,solo dijiste aumento siguen construyendo cosas patas prd
567,cuerooo queda decir importa gane xochilt sabe oportunidad
568,quieres decir pan calderon hizo fraude electoral mexico sabe menos pan dicen jamas paso si recuerdo
569,pan gano aunque duela pri gano aunque duela morena gano aunque duela gano abstencion
570,seguro piensan xochitl va almacenar agua lago texcoco potabilizar
571,mike ningun partido favor algun candidato debes ser fuerza militante serum primera vez vote candidato pan
572,sepa alito marco anaya cabeza vaca etc pluris prian profugos justicia
573,jajaja viejo pri veo profugos justicia peor viejo nuevo prian
574,incongruente candidata video dice q quitara programas sociales pan voto aumento pensiones ahora dice q programas sociales tocan
575,jamas dicho votare xochitly constitucion cualquiera llegue puede quitar opinando diciendoq si incongruente intentas justif
576,jajajajaja jamas votarias x ma mismo entonces opcion prian jajajaja cierto constitucion gracias pan minoria contrario modifi
577,entonces dice quitaransolo contradices deja justificar gobiernos defiendo pri pan morena investigo quieres votar segun odias
578,dejame adivinar viste tiktok plan nacional dime favor dice barbaridad acabas decir
579,preferible quede segundo lugar xochitl tercero claro
580,nooo puso amlopa bajarle votos xochitl asi ganar ma seguro
581,tan conscientes jamas vida votariamos xochitl
582,salir votar domingo junio xochitl galvez primera mujer presidenta unidos mexicano santiago taboada jefe gobierno cdmx
583,jajaja xochitl precidenta
584,espero asi gane xochitl
585,gane botarga
586,da miedo q gane xochitl
587,mentira xochitl va ganando encuestas
588,fundille pri
589,fundille pri pan
590,xochitl jajajjaja votarian
591,xochitl va ganando encuestas dentro prian
592,xochitl
593,xochitl va
594,vamos xochitl
595,xochitl galvez presidente
596,xochitl galvez vale millones
597,voy xochitl
598,xochitl
599,voy xochitl
600,xochitl
601,da miedo xochilt gane
602,vamos xochitl
603,unicamente milagro xochitl
604,xochitl vamos
605,da miedo xochilt gane
606,da miedo xochilt gane
607,xochilt gente mejor opcion
608,chayo andami voto xochitl galvez
609,casillas junio vamos xochitl
610,xochilt
611,xochilt
612,xochilt
613,si gana xochitl fraude
614,creo ganado voto jovenes terminos generales sigue debajo xochitl dejen influenciar saludos
615,merenistas desairaron pri
616,si para frente casa campana xochitl pues obvio
617,si entiendes maynez metieron quitar votos xochitl hoyo hace peligros siga obradorismo poder vamos comunismo
618,xochilt galvez tagtaja corrpta tambien dejo puesto politico ser candidata sabias
619,xochilt galvez tagtaja corrpta salio puesto poder ser candidata sigue cobrando sueldo senadora ve ma feo
620,do vota botarga desinflada xochilt galvez tagtaja corrpta
621,miedo hagan corrupcion pena nieto gane ignorante xochitl
622,voto util xochitl
623,xochitl presidenta
624,vamos xochitl
625,xochitl galvez vale millones
626,xochitl xochitl
627,plan c
628,miedo hagan corrupcion pena nieto gane ignorante xochitl
629,voto util xochitl
630,xochitl
631,voy xochitl
632,xochilt gente mejor opcion
633,xochitl galvez presidente
634,chayo andami voto xochitl galvez
635,plan c
