,0
48,payaso sebe q sabe controla maynez
49,estan gdl ninguno dijo mc
50,si centramos gdl nadie votaria mc
51,momento intente coercion si quieres seguir good voto libre
52,caso ido mc fosfo fosfo asi
53,maynez supone menos experiencia mejor expreso expuso propuestas maynez esfuerza partido siendo nuevo maynez vequecumple loque dice
54,cierto maynez
55,maynez indefenso lobos rodearan comeran falta muchisimo cree varita magica va arreglar
56,concluyas maynez cae bien apesar ser mentirosa apoyes indica claramente pensando razonablemente
57,creo si populismo dirian movimiento ciudadano canciones chidas
58,gracias otra si investigo mejor maynez
59,jajakaakakkakakaajajja maynez
60,maynez jajajajajajajajajajaja
61,pues hace falta investigar poquito mas dejas guiar solo visto maynez cada quien voto secreto animo
62,populismo maynez
63,jaja si varias propuestas mainez estan requiere mas investigacion
64,quejas populismo igual solo conociste mainez cancion
65,wey dicen morena guadalaja movimiento ciudadano gobernador completo p ndejo ratero xd
66,ustedes maynez cancion pedorra
67,ciudadano partido
68,asi tarot videncia ver energias puede cambiar cualquier momento
69,oraaaa jajaja dejas decidido votos votaran maynez iran votar jajaja
70,maynes dejas tambien anulan votos
71,jajajajajajaja dices despues recibir bolillo la naranjada palanqueta
72,supo pedo maynes buscara ciertos delitos
73,estan saliendo cosas maynes eh si atina
74,morena sido momento salvo pais
75,morena sexenio inflacion nivel mundial momento paises presentan mismos niveles fin
76,ay si pobre clau casa bueno va maynez comodin morenito
77,aah razon ahora gallo maynez entendi
78,supervisa elije preguntas haran ciudadanos
79,ciudadano libre expresion
80,bueno si verdad verdad creo maynez asi
81,si tal maynez asi dejar claro hablo solo si si tal vez mala eleccion votar el tal q no
82,dicen reeleccion opino mismo pero amlo tambien viejito cansado momento descansar tranquilo casa
83,narco haciendo quiere asaltos trailers camiones carga estan peor cualquier momento historia
84,solo culpa presidente tambien ciudadania nonos informamos seleccionar votamos
85,pierde canelo alvarez
86,maynez maynez maynez presidente
87,maynez va votar maynez
88,presidente maynes maynes maynes presidente
89,anos lleva movimiento ciudadano
90,dijeron realidad quiso prian revisara tranzas companias junto padre razon mejor cuido intereses tranzas mainez igual
91,presidente maynez maynez maynez presidente mexico favor gana
92,vamos voto masivo jorge alvarez maynez hacerlo posible
93,vamoos maynez
94,presidente maynez maynez maynez
95,presidente maynez
96,mexico mejor corrupcion nuevo mexico vamos maynez
97,puedes maynez
98,jorge maynez presidente
99,si conozco voy maynez
100,pues buen momento votes
101,maynez proximo presidente
102,nel siempre apoyare movimiento naranja si samuel medio puro fosfo fosfo samuel guia
103,si iba participar movimiento ciudadano mejor fosfo fosfo topo apenas entero va
104,voto maynez jorge alvarez maynez algo nuevo mexico
105,pues samuel movimiento ciudadano igual mariana sandra cuevas palasuelos
106,apoyo maynes
107,maynez mejor vale pena
108,vamos maynez
109,hecho paises usa momento subio
110,vamos maynez
111,jovenes enganan conceptos democracia ciudadania libertad etc cuidado pidan opinion mayores saben pasado mexico sido saqueado casi vendido
112,maynez si da propuestas
113,mexico real podemos poner gustaria menos momento fantaseoso pensar asi mas diera pri pri morena desaparecieran
114,grax considerarlo momento salgan
115,maynez presidente
116,maynez presidente
117,epa epa maynez
118,hacer quieren obligacion ciudadano ejercer sufragio democratico deber ciudadano eleccion
119,no ningun momento dijo inconforme solo dijo daba igual peor votar
120,ciudadanos irresponsables
121,noup hacer real compromiso ciudadanos dictadura imponen gobernante derechos obligaciones
122,cualquier accion obliga ciudadanos hacer voluntad dictadura
123,claro incluye cualquier accion obligue ciudadano hacer voluntad
124,hecho obligacion ciudadana
125,derechos ciudadanos
126,obligacion ciudadana
127,si dije perdian derechos podria decir obligacion si era ahorita mas funcion ciudadana
128,momento dije importante viejito dictador nota sabes dictaduras
129,derecho siguen siendo ciudadanos pagando impuestos
130,votamos dejamos ser ciudadanos derecho quejarnos pagamos impuestos fin
131,derechos ciudadano estan condicionados votar
132,participacion ciudadana politica resume voto protestar criticar denunciar hacer comunidad incluso mas importante
133,hecho mas privilegio ciudadano
134,supone culpa abstencionismo recae ciudadanos bodrio sistema politico corrupto tenemos
135,si culpa ciudadania
136,asi es falta interes participacion ciudadana culpa ciudadania involucrate
137,no si cierto sistema mal aunque vamos tampoco quitemos culpa ciudadania da igual investigar pelin digo
138,bien dicho corrupto inepto mayoria culpa ciudadano
139,pues si hecho si culpa ciudadano
140,primero escribe votar segundo deber civico ciudadano decidir va gobernar propio beneficio individuo mas
141,maynez presidente
142,derechos ciudadano condicionan voto manifestarse
143,hecho si mexico libertad derechos ciudadanos estan condicionados voto
144,que derechos ciudadanos estan condicionados voto
145,encuestas no ciudadania si misma prian compania hecho lado minimizandolo
146,apoyaras tu cuales ciudadanos
147,puro ciudadano jaja ja ciudadanos capaces eficaces jaja
148,pa apunte maynez
149,creo ningun momento quise decir detalle
150,jorge alvarez maynez va partido movimiento ciudadano importante mexicanos solo enfocarnos prian morena tambien ver
151,plurinominal q postulo mc
152,solo movimiento ciudadano fosfo dieron permiso
153,maynez nuevo mexico
154,si movimiento naranja
155,maynez maynez maynez presidente
156,maynes maynes
157,puede esperar alguien llame tonito momento espera
158,molestan leyes impulsadas gran mayoria movimiento presidente actual efecto chimoltrufia
159,pemex pemex dinero compro dinero cuidadanos dinero desperdicia anciano
160,santa fe dijo q conocia momento xochil
161,ningun momento ataco presidente rey ataques viejito senil palacio
162,responsabilidad ser buenos ciudadanos hacemos diferencia animo podemos mejor
163,argumento mal ciudadano si vas defender gobierno actual hazlo argumentos
164,mira problema aqui falto abriera posibilidad candidaturas ciudadanas
165,pues falacia tuya curiosamente mas preparado politicamente maynez independiente llego candidatura
166,dicen conocen maynez si hecho grandes cosas ejemplo
167,dice vieja politica claudia sheimbaum sabe mas postulado movimiento naranja xochilt
168,maines movimiento ciudadano
169,claudia cuevas frente perdieron voto alv movimiento ciudadano
170,pura perdida tiempo mc
171,jaja pura perdedera tiempo mc solo fortaleza jalisco nl
172,maynes estudio el
173,alvarez maines piedra sal gracia
174,cuate perdido mc borracho junior
175,momento amenaza mio
176,momento vi parte
177,usted amigos familiares vecinos companeros trabajo escuela ciudadanos
178,respete ciudadanos atienda lobque importa seguridad deje justificar mal gobierno
179,si dictador estaria hablando periodista sacado preguntale jorge ramos trump
180,asi trump mando sacar jorge ramos mismo periodistas pueden atacar desgarrar pruebas lestoca andan llorando nada
181,mas bien jorge ramos tenia losde ataque terco mula misma pregunta cualquiera sale casillas manda fregada
182,si libertad expresion jorge ramos dolor estan cuchillito palo cortan friegan asi disque periodistas mas puro golpeteo flojera
183,presidente intocable sujeto investigacion cualquier ciudadano
184,jajaja ningun momento hable loret comente violacion derechos privacidad hizo presidente bueno puedo esperar alguien educacion
185,jajajaja ningun momento hable loret respondo comentario si habla loret mejor devuelvete escuela luego comentas
186,trump hizo jorge ramos cuenteme trump sancionaron ah perdon papa gringo papa seriaos favor
187,maynez maynez maynez
188,maynez maynez
