0,Sentiment
nmms se nota ignorantes votan claudia,1
claudia va hacer cuidad comunista solo existen clase alta baja clase media,1
claudia arriba obvio maynez abajo claudia obviamente xochitl abajo,1
preocupate xochitl jajaja claudia maynez cualquiera tan malo,1
mejores propuestas q claudia,2
apoco claudia si veridicas honesta ejemplar claudia maestria energias sirve gobernar pais unico hace colgarse hizo amlo,1
futuro sheimbaum presente,2
amlo quito pensiones nadie dice jajaja,1
entonces maduro votar morena llevo quiebra pais xochitl simple burla digo deleitame parecer crees maduro querer votar alguna,1
amigo morena mejoro economia mexicana maynez pena nieto,2
unico meme claudia siento mitomana titere amlo xochitl queriendose hacer pobre voten tener educacion valores pena,1
crees amlo bajo dolar jaja amigo dieron oportunidad morena fracaso viejito terco solo habla conveniencia verdad bueno,1
bueno gente apoya morena acepte dice cara morena posible gente ignorante analfabeta mas pobres mejor senor dijo,1
jajaja si bro si amlo mejorado mexico crees q estabamos mejor pena nieto fox vas salir calderon mejor presidente ultimos anos sido obrador mas,1
amigo crees q maynez va mejorar mexico punto final maynez solo meme apoyan cancion si ninguno buena opcion sheinbaun mejor,1
piensas ya verdad absoluta si dio oportunidad partido desaprovecho modo da alguien mas sheinbaum senora esencia criterio,1
solo titere amlo cara burla sucedido nunca responde verdades dicen solo rie senora manipula voten cascada gente,1
dime propuestas maynez hermano solo piensas q diciendo morena apoyo mexico mejoro dime sido mejor presidente q obrador ultimos anos fox calderon pena nieto,1
jajaja sheinbaun pelea hermano ahi unica q pelea xochitl q proponia maynez,1
tu si viste debate viste propuestas sheinbaun,1
sinceramente paso echandose bolita xochitl alabando amlo unico dijo debate subimos salario erradicamos pobreza dijeron nunca sabria,1
jajaja amigo q debate viste sheinbaun pelaba xochitl,1
bien bajo misma logica si promete maynez haga bien mayor promete claudia haga paso hablar xochitl,1
ser electo elecciones estudiar politica va ser unico argumenta respuesta si investigas clauidia estudiado mas hecho mas cosas hechos palabras,1
quieren ver claudia si hecho muchas cosas excuses metro gobiernos tenian antes solo ven cosa mal mas buenas no weyes que,1
ver si pones pensar maynez hecho partido demasiado corrupto morena mejorado pais tren maya pobresa disminuido claudia trabajado amlo,1
presidente lopez obrador er lugar lideres mundo empatado modi india saque google,1
morena anos records buenos sigue dandole pais partidos decepcionaron vez nuevo,1
quiero sigan becas amlo manos claudia,1
pena xochitl jaja burla mejor pena tachamos tonto dio cuenta ideas tan iguales amlo chavez asi decir,1
haciendo ahi repetir dijo amlo mujer criterio esencia verguenza,1
claudia quieras mejor opcion continuara proyectos amlo hizo darles beca cosa maynez podria quitar aumentar horas escuela quieres,1
dice meme vi propuestas dos debates dejando lado fanatismo morena jaja mejor opcion dio oportunidad morena pan,1
regaron si quieres bienestar deja votar morena,1
mas chingados vamos quedar si gana corrupto va aumentar horas va quitar becas programa amlo,1
hablas xochitl si asi entendible aspira ser buena opcion claudia dicho prometido ayudara personas mayores dara becas continuas asi amlo apoyo,1
gane corrupto solo va aumentar horas posiblemente quite becas nombre si mal si bien gracias amlo,1
meme mitomana claudia xochitl verdulera,1
bb claudia metas,1
osea dan aun burros becas bien apoye amlo quiere decir claudia igual amlo,1
claro no claudia mejores propuestas,1
mano si gana morena mexico va arruinar negocios mexico van tener ganancias vendas pal gobierno conviene,1
admitamos maynez pa spotify sochilt pa casa claudia peesidenta,1
mas bien q solo claudia xochitl solo tira ella y mayoria ninos solo quieren maynez aunq propuestas nadie cumple nadie,3
maynez claudia mejores,4
claudia pri color guinda,3
dirias morena claudia sheimbaum campana jalisco funcionarios colima obligados hacer campana sheimbaum claro hablar voto libre secreto aparte se,2
viejos lista sigue sigue uno casos mas famosos casa gris hijo amlo lider morena actual presidente pri pan corruptos,1
nah claudia comunista quiere traer wl comunismo mexico saben malo,1
candidatos horribles claudia quiere traer comunismo mexixo si quitara joya dara alguien mas injusyo vdd imaginate propiedades dinero etc,1
claudia comunista quiere hacer,1
morena prian xd,2
morena tantos pri si obvio morenq mejor,3
morena mejor menos,3
morena mejor xddddd,3
mira amlo hizo peso valiera mas sueldo minimo mejoro tambien menos pobresa,4
si echo si almenos aca vivo subio precio misma pobreza gobiernan mismos morena,2
jorge xochitl sheinbaum,3
claudia defiende poquito mas,3
claudia defiende poquita mas bro,3
pues morena vaya ching r madre,1
obviamente claudia,3
claudia presidenta,3
si heres hermana cochi secuestradora bale cada quien pero claudia presidenta mexico asi nomas,1
xd claudia ahi propuestas,3
claudia ahi ficha amlo,3
xddd la boxa claudia amlo,3
claudia ahi gano interna,3
maynez solamente aspira tener puntos xochitl mas arriba maynez puntos xochitl caludia separa puntos diferencia,3
felicidades ganara claudia,4
claudia debate gano maynez,3
dra claudia presidenta invite maynez gabinete juntos harian trabajo extraordinario mexico adios prian prd siempre,4
arriba claudia,3
vamos claudia presidenta,3
morena numero vamos,3
vamos claudia,3
claudia sheimbaun presidenta,3
claudia presidenta,3
claudia presidenta,3
claudia sheinbaum presidenta,3
vamos claudia,3
vamos claudias,3
tercer devate gano claudia,3
claudia presidenta,3
claudia verdad nunca votado vista ojos cerrados diferencia,3
morena narco partido mas corrupto mexico necesita q regalen dinero sabemos generarlo candidatadelasmentiras somos igual xochitl,1
claudia devoro,1
xochicles pena nieto el solo relleno arriba claudia,1
vamos morena viva morena viva mexico,3
vamos claudia sheinbaum moreno vota,3
quisieras vv claudia devoro,3
claudia presidenta maynes segundo lugar,3
voto masivo morena,3
claramente vamos claudia,3
entiendo dicen claudia gano debate verdad mas obvio gano xochitl,3
vamos claudia,3
arriba claudia presidenta,3
viva claudia mejor,4
maynes aplico zacatecas mientras amlo literal propuso desaparecer estancias infantiles imss segun corruptas cosa nunca demostro,1
morenistas valor hablar linea metro politicos prianistas morena tomare enserio,1
capacidad cognitiva mirar propuestas ver claudia homicida negligente abrazos balasos pais tan inseguro mexico,1
apoyo maynes creo gane si gana estaria exigiendo politicos diferencia borrego morenista tampoco cumplio amlo propuestas,1
lit sabemos trayectoria aparecio nada minimo sabemos claudia xochitl,1
gobernador diputado inicio discusion cobro piso catalogarlo tentativa homicidio si cambio juicios dieron proceso,1
sabia mas samuel tambien tenia trayectoria ser gobernador n l,1
hecho no maynes guapo aparte claudia recuerda linea metro hecho prianistas campana alejandro murat,1
mayoria creeme juro pense final solo seria debate claudia xochitl serios debemos pensar mejor generaciones ahora,1
generacion idolatra politicos diferencia abuelos morena padres pan hagamos nuevo,3
argumentar si sabe claudia informate bien si sabe lee mucho persona lee mucho volada persona lee informate bien,1
ando estudiando psicologia amlo sabe leer argumentar paso leyendo informate bien,1
padres abusadores etc queda imss salir infierno familiar crees ninos reclamados volvieron aparecer,1
exacto bro punto gobierno morena afirma mexico pacifico claudia misma mentalidad pendeja,1
exacto punto politicos mala opcion claudia xochitl peor literal propuestas solo dijo continuar mamadas amlo,1
almenos expriistas gabinete claudia sheinmbaum si fuentes busca murat morenistas dan risa disque buscan cambio toda mierda pasada morena,1
mucha gente va mejor morena mientras hacen mismo tlatelolco exige morena dio mucha libertad marchar,3
diferencia morena mientras demas partidos hacian masacres exigia morena dio mucha libertad protesta ciudadanos,3
momento recordar manuel barlett super amigo amlo gabinete pesar ser priista mas acusaciones,1
sabes principal problema esto claudia dijo hara exactamente mismo presidente abrazos balazos visto hicieron segalmex,1
mjr claudia,4
ningun politico dice verdad punto menos morena acaso investigado segalmex,1
hecho si ves debates mas cuerdo maynez xochitl pasa tirandole morena claudia claudia vez defender gobierno queda callada jaja,1
jajaj mmda vro mas importante hizo amlo crecio deuda mexicana ademas proyectos pandemia crees presidente sacado asi,1
ponle si maynes mala opcion creer morena buena opcion mas mostrar da asco pasado corrupto,1
bajo mismos argumentos tambien votaron amlo,1
aun asi dejo tan mal pais obrador,1
mas acuerdense quieren votar claudia la beca elevando impuestos planea eliminar democracia voto maynez,1
si desagrado pena supongo recuerda manifestaciones realizamos debido campana anticipada pues mismo hizo claudia multa tribunal electoral ironico no,1
dio coraje combi escuche dos ninas secundaria diciendo votarian mainez divertido memes vrg claudia aburrida chiste,1
pues mejor amlo si,3
nadamas acuerdense eligieron aml hacer payasadas,1
pena nieto mejor amlo pasa,1
amlo xochitl puro circo wue lanzo veces perdio dio gente cayo mentiras estan bien fanatizados apoyo adultos,1
pues deberias hacer video todas mujeres quieren votar omar garcia harfuch horror peor equipo claudia,1
ahi va otra respecto vivienda maynes propone mayor exigencia infonavit vivienda accesible construccion barata habia visto amlo,3
maynez spotify claudia presidente xochitl casa,3
claudia sigue ideologias senores viejos canosos medio oriente titere,1
verdad claudia si bien tonta maynez pena nieto,1
veva claudia titere puedo ser buena opcion campana,1
gracias morena presidente amlo ayudas economicas q jamas aviamos tenido pensiones becas ayudas etc programa gracias ellos claudia unica q seguira eso,4
habiamos si cierto amlo quito programas salud solo chairos hacen ciegos maynez xochitl dijeron q continuarian programas,1
claudia literalmente amlo senora wakala,1
realmente xochitl mejor claudia claudia va llevar cano solo verdad hermano a solo pintando bonito pais final vas valer verga,1
coaudia mismo maynez literalmente,1
billy maynez spotify claudia presidente xochitl casa,3
mainez presidente claudia spotify xochitl casa,3
reves claudia xochitl,3
jajajajaj nmsss claudia queeeeee arriba xochitl,1
solo espero gente gane morena pena ver comentario,1
javi solo espero gente gane morena pena ver comentario,1
solo repite dice amlo xd solo quieren becas ninguno merece solo gente adulta,1
minimo mayor edad mexico amlo presidente avanzado sentidos va hacer claudia seguir,1
si amlo cosas buenas xd vez gastar becas deberia gastar medicinas claudia ser adultos darse cuenta dice mismo amlo,1
haz escuchado amlo manda becas venezolanos,1
bro jajaja viste debate ahi claudia dice va meterle dinero medicamentos,1
verdad joven xd tonto paea informarme tik tok amlo cambio gobierno paso,1
dicen xd hacen final claudia amlo si quieren becas malas jovenes merecen,1
noo vale puedo hacerte tremendo texto razones lq claudia mejor opcion,1
claudia casa,3
claudia spotify maynez presidente xochitl casa,3
nena claudia cancion,1
querer ofender nadie si votamos claudia estariamos votando crimen organizado rc tr f,1
holaa gracias querer ofender pero sacaste informacion disculpa claudia va hacer mismo amlo mexico va subiendo,1
nmmn claudia morena va terminar jodernos,1
si fueramos acabar venezuela estariamos lopez obrador empezo gobernar mexico si dicen claudia mismo amlo pues cambiara pais igual,1
claudia destroso pais,1
recuerden claudia cargos politicos paso linea escuela colapso y recuerden xochitl maestria ia utilizaran ahora,1
claudia k sabes politica,1
maynez olvido claudia casa xochil lastimosamente mejor opcion,1
claudia mierda mismo viejo pendejo amlo,1
fan lana igual no sabes politica digams q claudia mjr,1
eh ser fan lana ver digamos claudia mismo amlo el persona solo llevado mexico perdicion mejor informate mierdas hace ese,1
claudia pa casa tambien,1
claudia va caer pais,1
tia murio aplastada claudia,1
wey claudia kinder quemo metro callo,1
dime propuestas claudia si sabes acaso viste salud pais viste mueren ninos,1
claudia debe ser presidenta,3
seguro va xochilt mainez claudia tan,1
claudia pa israel,1
echo endulzan oido verdad ven cambio claudia,1
exacto amlo dijo gasolina si subiria va jaja,1
igual morena,1
mismo claudia puede endulzar oido sabriamos aqui existe fidelidad sinceridad solo buscan ganar,1
obviamente puede cambiar pais sexenio genia claudia seguira embargo punto presidente puede cambiar personas reclamenle,1
hajajajajajaj claudia jajajajajaja nina risa,1
dos crees cumplan cumplido morena,1
mismo xochitl sheinbaum,1
amlo diferente pena calderon mejor alarmante ustedes fanatizan grado cuestionarlo,1
hecho egi saco estadisticas inflamacion mayor amlo pena nieto,1
digo alguien sabe funcionarios morena pertenecian pri si drastico dialogar,1
si subieron gobiernos asco quita claudia si subieron asi desapariciones,1
candidatos aun sabes si cumpliran si hablamos confianza si promete claudia xochitl hacen ademas corruptas,1
viable votar claudia votar xochitl jajaja,1
felicidades haras claudia gane,3
wey voto hara diferencia va ser voto perdido mejor vota claudia bueno menos peor xochitl,1
dijo iba bajar pesos corazon solo busca amlo gasolina veras varios videos prometio eso,1
ok compro culpa calderon prometio amlo casi finalizar sexenio,1
sacas cifras gato politico https www infobae com mexico mexico sangriento gobierno de amlo a de duplicar cifra de homicidios de calderon en el mismo periodo,1
falta muchisimo aprender politica vv si evita claudia siga poder tema seguir morena poder,1
mismo amlo dijo,1
muchisimo poco se pudo asegurar amlo mejor presidente pasado mexico desinformado creas,1
deberias investigar leer jaja pensar mejor xochitl claudia horror,1
jajaja piensas xochitl claudia mejor mujeres llevan anos politica echo problema trasporte publico,1
tiras voto si saben va ganar claudia,1
abran ojos solo critica prian critica malo hace morena ahi pierde toda credibilidad cambio hace corrupto vendido poder actual puedo creer,1
investiguen desperdicien voto vez votar democracia dictadura votar maynez xochitl regalarle voto morena vean constitucion quiere morena,1
mc gobernado ninguna propuestas implementado garantia hagan cambio claudia si hecho cdmx,1
propuestas roba morena,1
maynez mala opcion estrategia votar xochitl si ganara claudia echenle coco estimados,1
propuestas maynez pirateadas claudia,1
voto morena entiendan circo maynez amlo,1
se da miedo gane maynez tambien da miedo gane xochitl tambien da miedo gane claudia irle,1
mejor opcion claudia,3
que gane claudia miedo jajajaajja,1
mamen claudia no,1
si decian amlo ibamos venezuela,1
si gana sheinbaum q mas probable queda velocidad q va si gana xochitl regreso pasado morena si gana maynez acelera todo bueno malo viviendo,1
claudia mejor opcion,1
creo mejor opcion tres va ser claudia esperemos cumpla,1
da mas miedo ejemplo mayor miedo xochitl luego maynez despues claudia asi quedo claudia,1
gane claudia si miedo dale leida nueva constitucion quiere implementar estan terror ciertas cosas,1
claudia mejor muchisimo dejense mmdas estan dlv digan mamadas,1
facil pongo simple sencillo mientras demas capaces hacer tlatelolco exigirles morena si dejado protestar opositores,1
claudia mejor opcion solo regresar mismo,1
documentate sabras claudia definitivamente mejor xochitl reverenda corrupta mainez completo titere,1
confundas tan facil escoger mainez trae mas cancion claudia xochitl escoger vida muerte claudia representa muerte xochitl viday democracia,1
maynes inmaduro xochilt da una claudia va manejar amlo va cubrir malo hizo,1
claudia mejor,1
voto util maynez oportunidad ganar unica puede sacar morena xochitl cuidado vean nueva constitucion miedo morena fuera,1
gusta creer solo ven mucha gente internet mayoria mexico internet mayoria mexico va votar claudia,1
puede decir miedo gane claudia dios,1
claudia sheimbaum presidenta gobierne,3
cuales propuestas misma madre andres manuel titere,1
jajaaj pues hablado mas maynez claudia,1
mundo andas claudia hace campanas apoyando gente solo bailando fosfo fosfo jajaja,1
si propuestas misma amlo favorece darle dinero ninis ancianos mientras cobra mas maquiladoras empresas aportan economia pais si sigue,1
ojala escondido amlo postulo mas veces primera ves cambio debe amlo,1
creo mainez mas titere claudia derecho votar quieres fijate bien,1
mismo dijeron amlo convertimos venezuela,1
claudia evadia impuestos paraisos fiscales da total empresas hacia eso incluso acepto dio entrevista mejor igual corrupta,1
xochitl regresar teniamos pasado morena almenos vimos mejor mencionar pandemia nivel global,1
mismo maynez da propuestas chochil sabe hablar claudia corrupta,1
amlo mismo abrazo mama chapo,1
jajajaja mejor si tambien temas corrupcion marketing base amlo,4
pues espero si llega hacer presidente claudia quiera arreglar cosas arregla linea metro conciertos manteniendo ninis dandoles becas,3
malos maynez propuestas chochil sabe hablar claudia corrupta,1
claro mejor candidata titere obrador asi cualquiera vv,2
verdad quita corrupta candidatos claudia mejor opcion,5
si quiere modificar constitucion si gana claudia vamos ir carajo,1
bro morena sabias vez gane va quitar va restringir usos vestimenta agua etc,1
unicamente personas ignorantes votan claudia bb ponte investigar quiere hacer quiere disolver instituciones tener control total prox cuba,1
jajajaja nmms claudia solo titere amlo irle candidatos mera neta,2
ay vv decian amlo aqui mejor prianistas gobernaron,2
dinero viene impuestos todos adquieras significa bien estarlas dando menso hizo amlo terminaron dinero ahora van afores,2
pues entonces correcto andres manuel chingon gobernar entonces esperare mismo claudia gracias terminar convencerme,4
no mejor propuestas maynez mejores literal propuestas sheinbaum mismas amlo,3
claudia sheimbaum mujeres victima acido pidieron ayuda dio avion anos despues encontro acordaba,1
claudia admitio acusaciones xochitl nego debate,1
obvia ciela claudia patrone,2
claudia niega tasa inseguridad desaparecidos propuestas infancias puedes votar,1
claudia modifico junto morena estadisticas femincidios,1
no domina amlo alguien q hecho bueno pais,2
claudia da feminista quiere responder preguntas aborto derechos trans,3
asi morena sabotearon misma propuesta hrs laborales,1
votos claudia estan comprados asi va ganar,1
si vv comparacion claudia conocida gracias ciertos cambios significativos echo mexico necesidad cancion hace maynez pena,3
nadie familia recibe ayuda gobierno votaremos claudia,1
guiense encuestas certeras victoria claudia inminente,4
mija bien informada bajado xochitl sigue tercero maynez relleno va ganar claudia,3
muchas personas q votarian el claudia maynez xochitl fe relleno jaja,2
miedo q gane cualquiera asegurada presidencia claudia igual,2
rivales claudia,1
tambien claudia,1
gane morena sibvana moren adios ala constitucion,1
miedo gane claudia,2
si gana mexico prosperara si valio mexico mismo viendo amlo queremos cosas nuevas,4
votos claudia,1
creeme va peor si gana claudia sheinbaum,2
mayor parte comentario mas y respondiendo pregunta si a maynez duras penas conocen ni siquiera sido capaz superar xochitl micho menos claudia jajajajaj,1
jajaja suenos wey ganara claudia,4
vv que votes claudia significa vaya ganar claudia,1
claudia asesina sabe q pd vida nomas sonrie dime quieres,1
da mas miedo gane claudia xochil ademas piensen presidencia pactada,2
da mas miedo gane claudia,2
miedo gane pri morena presidencia hicieron nada menos ver minima diferencia,2
va ganar mas morena volver prian,2
sabe va ganar claudia,4
pues mejor claudia unico sabe decir cuando jefe gobierno,4
obvio va ganar claudia,4
neta creo mucha gente va votar claudia,4
va ganar claudia,4
visto propuestas convencen mas sheinbaum,3
sheinbaum realidad seria mismo peor mas gobierno amlo gane claudia seguir igual,2
pobrecitos dicen vieron propuestas msynez ven mej r q sheinbaum weeey senora doctora cientifica toda vida pongan girar piedra,2
verdad mas convencen maynez mas realistas claudia lamentablemente,3
voto util no oportunidad ganar si votas maynez apoyar gane morena tenemos investigar el pais peligro unas votaciones normales democracia dictadura,2
cuales propuestas sheinbaum solo repite mismo amlo,2
morena santo tampoco partidos hablar,1
darle oportunidad morena pan prometieron cumplieron,2
razon estadisticas oportunidad ganar dos opciones xochitl morena democracia dictadura anos axochitl podemos sacar si gana morena volveras votar,2
lean nueva constitucion quiere implementar morena miedo apoderarse casa propiedades todo comunismo votar maynez vez tirar voto darle ventaja morena,1
aver mentira ley escrita votan morena solo,1
unico mejorcito claudia,4
claudia menos peor,3
mejor claudia,4
pues si mejor decision votar claudia mantendra dejar becas ayuda mucho,3
correcto peor opcion morena,2
totalmente acuerdo vez trata salvar mexico comunismo democracia dictadura mas xochitl claudia sacar morena solo xochitl compite,4
menor edad veremos si gane claudia van reclamar si dinero,2
claudia menos peor si gusta postulate,3
incluyes dra claudia,1
alch estan pal perro sheibaum menos lerenda creo,1
mas decente claudia,3
verdad si solo claudia mas menos mejor tres pura cgd,4
lit horror preferiria quede amlo puede,2
seria mismo populismo claudia apoyos jovenes adultos estan comprabdo voto marea rosa nota vives maynez sabes z gustos,1
hacen mismo no claudia apoyos diciendo trabajar van bien es peor maynez mas apto cargo investiga,2
crees claudia chochil van cumplir dicen jajaja love bombing amigo mejor investiga,1
si xochitl claudia buenas opciones,3
trata camapanas no amlo tambien hizo ahora cumplido,2
