,0
157,nmms se nota ignorantes votan claudia
158,claudia va hacer cuidad comunista solo existen clase alta baja clase media
159,claudia arriba obvio maynez abajo claudia obviamente xochitl abajo
160,preocupate xochitl jajaja claudia maynez cualquiera tan malo
161,mejores propuestas q claudia
162,apoco claudia si veridicas honesta ejemplar claudia maestria energias sirve gobernar pais unico hace colgarse hizo amlo
163,futuro sheimbaum presente
164,amlo quito pensiones nadie dice jajaja
165,entonces maduro votar morena llevo quiebra pais xochitl simple burla digo deleitame parecer crees maduro querer votar alguna
166,amigo morena mejoro economia mexicana maynez pena nieto
167,unico meme claudia siento mitomana titere amlo xochitl queriendose hacer pobre voten tener educacion valores pena
168,crees amlo bajo dolar jaja amigo dieron oportunidad morena fracaso viejito terco solo habla conveniencia verdad bueno
169,bueno gente apoya morena acepte dice cara morena posible gente ignorante analfabeta mas pobres mejor senor dijo
170,jajaja si bro si amlo mejorado mexico crees q estabamos mejor pena nieto fox vas salir calderon mejor presidente ultimos anos sido obrador mas
171,amigo crees q maynez va mejorar mexico punto final maynez solo meme apoyan cancion si ninguno buena opcion sheinbaun mejor
172,piensas ya verdad absoluta si dio oportunidad partido desaprovecho modo da alguien mas sheinbaum senora esencia criterio
173,solo titere amlo cara burla sucedido nunca responde verdades dicen solo rie senora manipula voten cascada gente
174,dime propuestas maynez hermano solo piensas q diciendo morena apoyo mexico mejoro dime sido mejor presidente q obrador ultimos anos fox calderon pena nieto
175,jajaja sheinbaun pelea hermano ahi unica q pelea xochitl q proponia maynez
176,tu si viste debate viste propuestas sheinbaun
177,sinceramente paso echandose bolita xochitl alabando amlo unico dijo debate subimos salario erradicamos pobreza dijeron nunca sabria
178,jajaja amigo q debate viste sheinbaun pelaba xochitl
179,bien bajo misma logica si promete maynez haga bien mayor promete claudia haga paso hablar xochitl
180,ser electo elecciones estudiar politica va ser unico argumenta respuesta si investigas clauidia estudiado mas hecho mas cosas hechos palabras
181,quieren ver claudia si hecho muchas cosas excuses metro gobiernos tenian antes solo ven cosa mal mas buenas no weyes que
182,ver si pones pensar maynez hecho partido demasiado corrupto morena mejorado pais tren maya pobresa disminuido claudia trabajado amlo
183,presidente lopez obrador er lugar lideres mundo empatado modi india saque google
184,morena anos records buenos sigue dandole pais partidos decepcionaron vez nuevo
185,quiero sigan becas amlo manos claudia
186,pena xochitl jaja burla mejor pena tachamos tonto dio cuenta ideas tan iguales amlo chavez asi decir
187,haciendo ahi repetir dijo amlo mujer criterio esencia verguenza
188,claudia quieras mejor opcion continuara proyectos amlo hizo darles beca cosa maynez podria quitar aumentar horas escuela quieres
189,dice meme vi propuestas dos debates dejando lado fanatismo morena jaja mejor opcion dio oportunidad morena pan
190,regaron si quieres bienestar deja votar morena
191,mas chingados vamos quedar si gana corrupto va aumentar horas va quitar becas programa amlo
192,hablas xochitl si asi entendible aspira ser buena opcion claudia dicho prometido ayudara personas mayores dara becas continuas asi amlo apoyo
193,gane corrupto solo va aumentar horas posiblemente quite becas nombre si mal si bien gracias amlo
194,meme mitomana claudia xochitl verdulera
195,bb claudia metas
196,osea dan aun burros becas bien apoye amlo quiere decir claudia igual amlo
197,claro no claudia mejores propuestas
198,mano si gana morena mexico va arruinar negocios mexico van tener ganancias vendas pal gobierno conviene
199,admitamos maynez pa spotify sochilt pa casa claudia peesidenta
200,mas bien q solo claudia xochitl solo tira ella y mayoria ninos solo quieren maynez aunq propuestas nadie cumple nadie
201,maynez claudia mejores
202,claudia pri color guinda
203,dirias morena claudia sheimbaum campana jalisco funcionarios colima obligados hacer campana sheimbaum claro hablar voto libre secreto aparte se
204,viejos lista sigue sigue uno casos mas famosos casa gris hijo amlo lider morena actual presidente pri pan corruptos
205,nah claudia comunista quiere traer wl comunismo mexico saben malo
206,candidatos horribles claudia quiere traer comunismo mexixo si quitara joya dara alguien mas injusyo vdd imaginate propiedades dinero etc
207,claudia comunista quiere hacer
208,morena prian xd
209,morena tantos pri si obvio morenq mejor
210,morena mejor menos
211,morena mejor xddddd
212,mira amlo hizo peso valiera mas sueldo minimo mejoro tambien menos pobresa
213,si echo si almenos aca vivo subio precio misma pobreza gobiernan mismos morena
214,jorge xochitl sheinbaum
215,claudia defiende poquito mas
216,claudia defiende poquita mas bro
217,pues morena vaya ching r madre
218,obviamente claudia
219,claudia presidenta
220,si heres hermana cochi secuestradora bale cada quien pero claudia presidenta mexico asi nomas
221,xd claudia ahi propuestas
222,claudia ahi ficha amlo
223,xddd la boxa claudia amlo
224,claudia ahi gano interna
225,maynez solamente aspira tener puntos xochitl mas arriba maynez puntos xochitl caludia separa puntos diferencia
226,felicidades ganara claudia
227,claudia debate gano maynez
228,dra claudia presidenta invite maynez gabinete juntos harian trabajo extraordinario mexico adios prian prd siempre
229,arriba claudia
230,vamos claudia presidenta
231,morena numero vamos
232,vamos claudia
233,claudia sheimbaun presidenta
234,claudia presidenta
235,claudia presidenta
236,claudia sheinbaum presidenta
237,vamos claudia
238,vamos claudias
239,tercer devate gano claudia
240,claudia presidenta
241,claudia verdad nunca votado vista ojos cerrados diferencia
242,morena narco partido mas corrupto mexico necesita q regalen dinero sabemos generarlo candidatadelasmentiras somos igual xochitl
243,claudia devoro
244,xochicles pena nieto el solo relleno arriba claudia
245,vamos morena viva morena viva mexico
246,vamos claudia sheinbaum moreno vota
247,quisieras vv claudia devoro
248,claudia presidenta maynes segundo lugar
249,voto masivo morena
250,claramente vamos claudia
251,entiendo dicen claudia gano debate verdad mas obvio gano xochitl
252,vamos claudia
253,arriba claudia presidenta
254,viva claudia mejor
255,maynes aplico zacatecas mientras amlo literal propuso desaparecer estancias infantiles imss segun corruptas cosa nunca demostro
256,morenistas valor hablar linea metro politicos prianistas morena tomare enserio
257,capacidad cognitiva mirar propuestas ver claudia homicida negligente abrazos balasos pais tan inseguro mexico
258,apoyo maynes creo gane si gana estaria exigiendo politicos diferencia borrego morenista tampoco cumplio amlo propuestas
259,lit sabemos trayectoria aparecio nada minimo sabemos claudia xochitl
260,gobernador diputado inicio discusion cobro piso catalogarlo tentativa homicidio si cambio juicios dieron proceso
261,sabia mas samuel tambien tenia trayectoria ser gobernador n l
262,hecho no maynes guapo aparte claudia recuerda linea metro hecho prianistas campana alejandro murat
263,mayoria creeme juro pense final solo seria debate claudia xochitl serios debemos pensar mejor generaciones ahora
264,generacion idolatra politicos diferencia abuelos morena padres pan hagamos nuevo
265,argumentar si sabe claudia informate bien si sabe lee mucho persona lee mucho volada persona lee informate bien
266,ando estudiando psicologia amlo sabe leer argumentar paso leyendo informate bien
267,padres abusadores etc queda imss salir infierno familiar crees ninos reclamados volvieron aparecer
268,exacto bro punto gobierno morena afirma mexico pacifico claudia misma mentalidad pendeja
269,exacto punto politicos mala opcion claudia xochitl peor literal propuestas solo dijo continuar mamadas amlo
270,almenos expriistas gabinete claudia sheinmbaum si fuentes busca murat morenistas dan risa disque buscan cambio toda mierda pasada morena
271,mucha gente va mejor morena mientras hacen mismo tlatelolco exige morena dio mucha libertad marchar
272,diferencia morena mientras demas partidos hacian masacres exigia morena dio mucha libertad protesta ciudadanos
273,momento recordar manuel barlett super amigo amlo gabinete pesar ser priista mas acusaciones
274,sabes principal problema esto claudia dijo hara exactamente mismo presidente abrazos balazos visto hicieron segalmex
275,mjr claudia
276,ningun politico dice verdad punto menos morena acaso investigado segalmex
277,hecho si ves debates mas cuerdo maynez xochitl pasa tirandole morena claudia claudia vez defender gobierno queda callada jaja
278,jajaj mmda vro mas importante hizo amlo crecio deuda mexicana ademas proyectos pandemia crees presidente sacado asi
279,ponle si maynes mala opcion creer morena buena opcion mas mostrar da asco pasado corrupto
280,bajo mismos argumentos tambien votaron amlo
281,aun asi dejo tan mal pais obrador
282,mas acuerdense quieren votar claudia la beca elevando impuestos planea eliminar democracia voto maynez
283,si desagrado pena supongo recuerda manifestaciones realizamos debido campana anticipada pues mismo hizo claudia multa tribunal electoral ironico no
284,dio coraje combi escuche dos ninas secundaria diciendo votarian mainez divertido memes vrg claudia aburrida chiste
285,pues mejor amlo si
286,nadamas acuerdense eligieron aml hacer payasadas
287,pena nieto mejor amlo pasa
288,amlo xochitl puro circo wue lanzo veces perdio dio gente cayo mentiras estan bien fanatizados apoyo adultos
289,pues deberias hacer video todas mujeres quieren votar omar garcia harfuch horror peor equipo claudia
290,ahi va otra respecto vivienda maynes propone mayor exigencia infonavit vivienda accesible construccion barata habia visto amlo
291,maynez spotify claudia presidente xochitl casa
292,claudia sigue ideologias senores viejos canosos medio oriente titere
293,verdad claudia si bien tonta maynez pena nieto
294,veva claudia titere puedo ser buena opcion campana
295,gracias morena presidente amlo ayudas economicas q jamas aviamos tenido pensiones becas ayudas etc programa gracias ellos claudia unica q seguira eso
296,habiamos si cierto amlo quito programas salud solo chairos hacen ciegos maynez xochitl dijeron q continuarian programas
297,claudia literalmente amlo senora wakala
298,realmente xochitl mejor claudia claudia va llevar cano solo verdad hermano a solo pintando bonito pais final vas valer verga
299,coaudia mismo maynez literalmente
300,billy maynez spotify claudia presidente xochitl casa
301,mainez presidente claudia spotify xochitl casa
302,reves claudia xochitl
303,jajajajaj nmsss claudia queeeeee arriba xochitl
304,solo espero gente gane morena pena ver comentario
305,javi solo espero gente gane morena pena ver comentario
306,solo repite dice amlo xd solo quieren becas ninguno merece solo gente adulta
307,minimo mayor edad mexico amlo presidente avanzado sentidos va hacer claudia seguir
308,si amlo cosas buenas xd vez gastar becas deberia gastar medicinas claudia ser adultos darse cuenta dice mismo amlo
309,haz escuchado amlo manda becas venezolanos
310,bro jajaja viste debate ahi claudia dice va meterle dinero medicamentos
311,verdad joven xd tonto paea informarme tik tok amlo cambio gobierno paso
312,dicen xd hacen final claudia amlo si quieren becas malas jovenes merecen
313,noo vale puedo hacerte tremendo texto razones lq claudia mejor opcion
314,claudia casa
315,claudia spotify maynez presidente xochitl casa
316,nena claudia cancion
317,querer ofender nadie si votamos claudia estariamos votando crimen organizado rc tr f
318,holaa gracias querer ofender pero sacaste informacion disculpa claudia va hacer mismo amlo mexico va subiendo
319,nmmn claudia morena va terminar jodernos
320,si fueramos acabar venezuela estariamos lopez obrador empezo gobernar mexico si dicen claudia mismo amlo pues cambiara pais igual
321,claudia destroso pais
322,recuerden claudia cargos politicos paso linea escuela colapso y recuerden xochitl maestria ia utilizaran ahora
323,claudia k sabes politica
324,maynez olvido claudia casa xochil lastimosamente mejor opcion
325,claudia mierda mismo viejo pendejo amlo
326,fan lana igual no sabes politica digams q claudia mjr
327,eh ser fan lana ver digamos claudia mismo amlo el persona solo llevado mexico perdicion mejor informate mierdas hace ese
328,claudia pa casa tambien
329,claudia va caer pais
330,tia murio aplastada claudia
331,wey claudia kinder quemo metro callo
332,dime propuestas claudia si sabes acaso viste salud pais viste mueren ninos
333,claudia debe ser presidenta
334,seguro va xochilt mainez claudia tan
335,claudia pa israel
336,echo endulzan oido verdad ven cambio claudia
337,exacto amlo dijo gasolina si subiria va jaja
338,igual morena
339,mismo claudia puede endulzar oido sabriamos aqui existe fidelidad sinceridad solo buscan ganar
340,obviamente puede cambiar pais sexenio genia claudia seguira embargo punto presidente puede cambiar personas reclamenle
341,hajajajajajaj claudia jajajajajaja nina risa
342,dos crees cumplan cumplido morena
343,mismo xochitl sheinbaum
344,amlo diferente pena calderon mejor alarmante ustedes fanatizan grado cuestionarlo
345,hecho egi saco estadisticas inflamacion mayor amlo pena nieto
346,digo alguien sabe funcionarios morena pertenecian pri si drastico dialogar
347,si subieron gobiernos asco quita claudia si subieron asi desapariciones
348,candidatos aun sabes si cumpliran si hablamos confianza si promete claudia xochitl hacen ademas corruptas
349,viable votar claudia votar xochitl jajaja
350,felicidades haras claudia gane
351,wey voto hara diferencia va ser voto perdido mejor vota claudia bueno menos peor xochitl
352,dijo iba bajar pesos corazon solo busca amlo gasolina veras varios videos prometio eso
353,ok compro culpa calderon prometio amlo casi finalizar sexenio
354,sacas cifras gato politico https www infobae com mexico mexico sangriento gobierno de amlo a de duplicar cifra de homicidios de calderon en el mismo periodo
355,falta muchisimo aprender politica vv si evita claudia siga poder tema seguir morena poder
356,mismo amlo dijo
357,muchisimo poco se pudo asegurar amlo mejor presidente pasado mexico desinformado creas
358,deberias investigar leer jaja pensar mejor xochitl claudia horror
359,jajaja piensas xochitl claudia mejor mujeres llevan anos politica echo problema trasporte publico
360,tiras voto si saben va ganar claudia
361,abran ojos solo critica prian critica malo hace morena ahi pierde toda credibilidad cambio hace corrupto vendido poder actual puedo creer
362,investiguen desperdicien voto vez votar democracia dictadura votar maynez xochitl regalarle voto morena vean constitucion quiere morena
363,mc gobernado ninguna propuestas implementado garantia hagan cambio claudia si hecho cdmx
364,propuestas roba morena
365,maynez mala opcion estrategia votar xochitl si ganara claudia echenle coco estimados
366,propuestas maynez pirateadas claudia
367,voto morena entiendan circo maynez amlo
368,se da miedo gane maynez tambien da miedo gane xochitl tambien da miedo gane claudia irle
369,mejor opcion claudia
370,que gane claudia miedo jajajaajja
371,mamen claudia no
372,si decian amlo ibamos venezuela
373,si gana sheinbaum q mas probable queda velocidad q va si gana xochitl regreso pasado morena si gana maynez acelera todo bueno malo viviendo
374,claudia mejor opcion
375,creo mejor opcion tres va ser claudia esperemos cumpla
376,da mas miedo ejemplo mayor miedo xochitl luego maynez despues claudia asi quedo claudia
377,gane claudia si miedo dale leida nueva constitucion quiere implementar estan terror ciertas cosas
378,claudia mejor muchisimo dejense mmdas estan dlv digan mamadas
379,facil pongo simple sencillo mientras demas capaces hacer tlatelolco exigirles morena si dejado protestar opositores
380,claudia mejor opcion solo regresar mismo
381,documentate sabras claudia definitivamente mejor xochitl reverenda corrupta mainez completo titere
382,confundas tan facil escoger mainez trae mas cancion claudia xochitl escoger vida muerte claudia representa muerte xochitl viday democracia
383,maynes inmaduro xochilt da una claudia va manejar amlo va cubrir malo hizo
384,claudia mejor
385,voto util maynez oportunidad ganar unica puede sacar morena xochitl cuidado vean nueva constitucion miedo morena fuera
386,gusta creer solo ven mucha gente internet mayoria mexico internet mayoria mexico va votar claudia
387,puede decir miedo gane claudia dios
388,claudia sheimbaum presidenta gobierne
389,cuales propuestas misma madre andres manuel titere
390,jajaaj pues hablado mas maynez claudia
391,mundo andas claudia hace campanas apoyando gente solo bailando fosfo fosfo jajaja
392,si propuestas misma amlo favorece darle dinero ninis ancianos mientras cobra mas maquiladoras empresas aportan economia pais si sigue
393,ojala escondido amlo postulo mas veces primera ves cambio debe amlo
394,creo mainez mas titere claudia derecho votar quieres fijate bien
395,mismo dijeron amlo convertimos venezuela
396,claudia evadia impuestos paraisos fiscales da total empresas hacia eso incluso acepto dio entrevista mejor igual corrupta
397,xochitl regresar teniamos pasado morena almenos vimos mejor mencionar pandemia nivel global
398,mismo maynez da propuestas chochil sabe hablar claudia corrupta
399,amlo mismo abrazo mama chapo
400,jajajaja mejor si tambien temas corrupcion marketing base amlo
401,pues espero si llega hacer presidente claudia quiera arreglar cosas arregla linea metro conciertos manteniendo ninis dandoles becas
402,malos maynez propuestas chochil sabe hablar claudia corrupta
403,claro mejor candidata titere obrador asi cualquiera vv
404,verdad quita corrupta candidatos claudia mejor opcion
405,si quiere modificar constitucion si gana claudia vamos ir carajo
406,bro morena sabias vez gane va quitar va restringir usos vestimenta agua etc
407,unicamente personas ignorantes votan claudia bb ponte investigar quiere hacer quiere disolver instituciones tener control total prox cuba
408,jajajaja nmms claudia solo titere amlo irle candidatos mera neta
409,ay vv decian amlo aqui mejor prianistas gobernaron
410,dinero viene impuestos todos adquieras significa bien estarlas dando menso hizo amlo terminaron dinero ahora van afores
411,pues entonces correcto andres manuel chingon gobernar entonces esperare mismo claudia gracias terminar convencerme
412,no mejor propuestas maynez mejores literal propuestas sheinbaum mismas amlo
413,claudia sheimbaum mujeres victima acido pidieron ayuda dio avion anos despues encontro acordaba
414,claudia admitio acusaciones xochitl nego debate
415,obvia ciela claudia patrone
416,claudia niega tasa inseguridad desaparecidos propuestas infancias puedes votar
417,claudia modifico junto morena estadisticas femincidios
418,no domina amlo alguien q hecho bueno pais
419,claudia da feminista quiere responder preguntas aborto derechos trans
420,asi morena sabotearon misma propuesta hrs laborales
421,votos claudia estan comprados asi va ganar
422,si vv comparacion claudia conocida gracias ciertos cambios significativos echo mexico necesidad cancion hace maynez pena
423,nadie familia recibe ayuda gobierno votaremos claudia
424,guiense encuestas certeras victoria claudia inminente
425,mija bien informada bajado xochitl sigue tercero maynez relleno va ganar claudia
426,muchas personas q votarian el claudia maynez xochitl fe relleno jaja
427,miedo q gane cualquiera asegurada presidencia claudia igual
428,rivales claudia
429,tambien claudia
430,gane morena sibvana moren adios ala constitucion
431,miedo gane claudia
432,si gana mexico prosperara si valio mexico mismo viendo amlo queremos cosas nuevas
433,votos claudia
434,creeme va peor si gana claudia sheinbaum
435,mayor parte comentario mas y respondiendo pregunta si a maynez duras penas conocen ni siquiera sido capaz superar xochitl micho menos claudia jajajajaj
436,jajaja suenos wey ganara claudia
437,vv que votes claudia significa vaya ganar claudia
438,claudia asesina sabe q pd vida nomas sonrie dime quieres
439,da mas miedo gane claudia xochil ademas piensen presidencia pactada
440,da mas miedo gane claudia
441,miedo gane pri morena presidencia hicieron nada menos ver minima diferencia
442,va ganar mas morena volver prian
443,sabe va ganar claudia
444,pues mejor claudia unico sabe decir cuando jefe gobierno
445,obvio va ganar claudia
446,neta creo mucha gente va votar claudia
447,va ganar claudia
448,visto propuestas convencen mas sheinbaum
449,sheinbaum realidad seria mismo peor mas gobierno amlo gane claudia seguir igual
450,pobrecitos dicen vieron propuestas msynez ven mej r q sheinbaum weeey senora doctora cientifica toda vida pongan girar piedra
451,verdad mas convencen maynez mas realistas claudia lamentablemente
452,voto util no oportunidad ganar si votas maynez apoyar gane morena tenemos investigar el pais peligro unas votaciones normales democracia dictadura
453,cuales propuestas sheinbaum solo repite mismo amlo
454,morena santo tampoco partidos hablar
455,darle oportunidad morena pan prometieron cumplieron
456,razon estadisticas oportunidad ganar dos opciones xochitl morena democracia dictadura anos axochitl podemos sacar si gana morena volveras votar
457,lean nueva constitucion quiere implementar morena miedo apoderarse casa propiedades todo comunismo votar maynez vez tirar voto darle ventaja morena
458,aver mentira ley escrita votan morena solo
459,unico mejorcito claudia
460,claudia menos peor
461,mejor claudia
462,pues si mejor decision votar claudia mantendra dejar becas ayuda mucho
463,correcto peor opcion morena
464,totalmente acuerdo vez trata salvar mexico comunismo democracia dictadura mas xochitl claudia sacar morena solo xochitl compite
465,menor edad veremos si gane claudia van reclamar si dinero
466,claudia menos peor si gusta postulate
467,incluyes dra claudia
468,alch estan pal perro sheibaum menos lerenda creo
469,mas decente claudia
470,verdad si solo claudia mas menos mejor tres pura cgd
471,lit horror preferiria quede amlo puede
472,seria mismo populismo claudia apoyos jovenes adultos estan comprabdo voto marea rosa nota vives maynez sabes z gustos
473,hacen mismo no claudia apoyos diciendo trabajar van bien es peor maynez mas apto cargo investiga
474,crees claudia chochil van cumplir dicen jajaja love bombing amigo mejor investiga
475,si xochitl claudia buenas opciones
476,trata camapanas no amlo tambien hizo ahora cumplido
