,0
90,maynez presidente
91,ubicas video cdmx ubicas ningun momento pusiste mexico general aprende redactar luego dices mmds tenian ver whitexicans qpd
92,maynez sandra cuevas mas aparte piensa ricardo anaya
93,quiero gane maynez
94,vamos mainez
95,nambre si gana maynez siento pasara mismo colosio
96,ven jalisco movimiento ciudadano hecho
97,si gana maynez nuevo pena nieto
98,maynez nadie pela
99,conmigo maynez jajajaja
100,cuantos maynez jajajaj
101,aca voto mas maynez
102,tirar hate senalar realidad ahi comentas julio amado acosador chapulin maynez dona
103,voto maynez
104,maynez maynez maynez presidente
105,maynez presidente
106,maynez maynez maynez presidente
107,maynez maynez maynez presidente
108,maynez maynez maynez presidente
109,maynez facha erique penanieto
110,maynez maynez maynez presidente
111,maynez tampoco chistoso si buena onda si va cumplir probablemente
112,si eh investigado mucho justo parecer tonta pregunten voy votar mainez
113,dices tontas despues dices vas votar maynez salio jajaja hecho maynez tomes cuenta
114,investigaste maynez
115,va ver boto convenci familia vamos maynez
116,convenciste miren familia maynez saco nueva rola votar
117,dije ningun momento mejor claramente dije tres peor dare voto narco morena
118,si ganara mas corrupto entonces estaria prianrd mc si opinas contrario gnorante tema
119,mal ciudadanos hagan encuestas cada lugar pais asi podrian darse idea preferencias lugar pienso saldrian igual esta mexico informado
120,maynez maynez maynez presidente
121,maynez maynez maynez maynez presidente mexico
122,eligieron dividir votos ganarse voto joven inmaduro recuerdo ninos maynez llamaba quadri
123,nadie perfecto puede corregir ahora dime piensas va hacer tal maynez corrupto proponga significa va cumplir
124,nadie perfecto diciendo maynez vaya cumplir propuestas pie letra creibles buenas ademas veredicto final dara despues votaciones
125,creo mejor alguien mas preparada academicamente pues maynez sandra cuevas
126,creo verdad juventud vota solo cancion representa ademas si buscas diferencia vas verla estan detras maynes iguales
127,ningun momento xochitl contesto preguntan respuesta concreta menos jovenes cuestionan nunca contesta siempre mete demas partidos
128,maynez dio propuestas deplorables dos solo dedicaron pelear
129,maynez maynez maynez
130,presidente maynez
131,maynez maynez maynez presidente
132,maynez mejor opcion
133,levantar mc solo placer ver sufrir prian
134,mc levanta jajaja
135,nonono votar mas facil afirmar fraude aunque digan va ganar x persona seguramente deben votar ejercer muestra obligacion basica ciudadano
136,mainez conocen pq si empezo campana legal tiempo
137,maynez maynez presidente
138,nomas apoyos sirbe dinero si bas malgastar maynes ba dar mas puestos trabajo lugares universidades
139,comunidades deberia hacer ejercicios asi ciudadania cuenta si hacen fraudes electorales
140,maynez queria votar llega maynez
141,maynez experiencia saber podra dirigir pais entero ademas demostrado propuestas viables
142,jajaja real iba anular voto escuche venian campanas presidenciales maynez cambio
143,maynez tambien buena opcion apoyado publicidad
144,inicio siempre mucha publicidad simplemente nadie quiere mc
145,si asisti marcha miles ciudadanos
146,maynes mejor
147,presidente puedo votar x morena gobernador movimiento ciudadano presidente mundial podria ser pan xk individuos convence
148,mc no si alfaro bien odiado
149,mc jalisco deberia hacerle caldo gordo mc nacional mas maynez deberia ahi
150,honestamente jalisco debe pensar bien votos prian mc
151,entonces si los mismos dices voten ellos vez estan bien pun tone si final cuentas priistas jajajjaa mc jalisco
152,lemus hecho jalisco empezo bien momento hizo igual pelon alfaro mc peor
153,movimiento ciudadano judios todo nadie quiere tampoco queremos morena
154,dios mc demostro jalisco sirven hecho asquerosidad pelon hace bien
155,pues si minimo tratar escoger alguien mismo movimiento tratar cambiar ver si minimo empeoramos
156,nadie quiere movimiento raterano aqui guadalajara dicen
157,maynez presidente diputado si chambeo
158,maynes va ser causante mc pierda registro
159,maynez maynez maynez presidente maynez
160,maynez maynez maynez presidente
161,maynez maynez maynez presidente
162,maynez inclinara hermana alex lora
163,mms q maynez
164,jorge maynez opcion buena busca propuestas junta samuel
165,samuel penanietazo mainez idea dice
166,presidente maynez maynez maynez presidente
167,neh maynez maynez presidente maynez presidente maynez presidente
168,maynez bronco solo adorno
169,despues primer debate maynez tendra mas popularidad
170,maynez maynez maynez presidente
171,va arrasar maynez unico opinion propia animo jovenes
172,forma amigo suda maynes maynes maynes presidente
173,salio tal jorge alvarez maine
174,verdad no recomiendo buscar propuestas maynez
175,voy votar maynes creyendo samuel
176,maynez presidente
177,dan escoger maynez rata pend rata escogerias
178,puro movimiento naranja nvo leon vamos puro movimiento naranja
179,maynez presidente
180,maynez maynez maynez maynez presidente inviertele jorge alvarez maynez fi confio remontada
181,vamos maynez xd
182,maynez maynez maynez presidente
183,maynez maynez maynez maynez presidente
184,maynez maynez maynez presidente mexico
185,maynez maynez maynez presidente
186,fin veran maynez
187,maynez maynez maynez presidente
188,maynez presidente
189,maynez maynez maynez presidenteeee
190,maynez presidente
191,maynes maynes maynes presidente
192,maynez bajita mano va llegar mas merma priand
193,entonces menor pior mainez dos titeres
194,vamos candidato maynez mejor
195,mainez mejor perfil propuestas
196,presidente maynez
197,primer comentario q miro maynez
198,jorge alvarez si puede
199,quitaron mc apropiaron indecisos hizo mexico elige
200,jajaja y luego reforma periodico mas derechista momento
201,jorge alvarez si puede
202,quitaron mc apropiaron indecisos hizo mexico elige
203,extorsionar empresarios narco movimiento
204,mainez llevo todas personas despues debate
205,jovenes w y quieren pensionarse conocemos maynes logrado grande arriesgamos sexenio tibio riesgo malisimo
206,exacto conocemos asi arriesgamos sexenio malo arriesgamos bueno movimiento ciudadano nunca poder asi sabemos
207,video chava habla cosas buenas hecho maynez recomiendo verlo si hecho cosas grandes solo buscalo
208,presidente maynez maynez
209,mainez mejor perfil propuestas
210,entendido maynez hablo creo
211,si realistas gano maynez
212,maynez presidente
213,maynez maynez maynez presidente
214,jovenes mayoria mexico junio saldran votar demostraran solo cancion estan preparados decidir pais desean vamos maynez
215,mainez mejor perfil propuestas tocaba ebrard robaron
216,hecho basta ver cachitos debate darte cuenta q maynez mejor opcion unico evadio preguntas contesto bien
217,cualquiera menos gelatina votaria maynez
218,mainez mejor perfil propuestas tocaba ebrard robaron
219,maynes debate
220,maynez cansaria forzando sonrisa tiempo
221,igual elecciones pasadas irle maynez momento menor peor
222,mainez conocia aora sii
223,mainez mejor perfil propuestas tocaba ebrard robaron
224,presidente maynez
225,maynez maynez presidente
226,vamos mainez
227,fud falla misteriosa factor humano acelerar construccion momento produccion energia nucleo calento mas
228,aun miedo piensan aun tiempos chernobyl jajaja compa arriba cree listos realidad mejor momento
229,ojo maynez like
230,maynez llevaria tiempo dudo cumpla
231,maynez cosas mas interesantes si pueden ser viables
232,ok entonces si llega movimiento ciudadano poder opositores serian demas partidos
233,totalmente apoyo momento energias limpias mas barato lamentablemente energia nuclear requiere inversion muyyyyyyy grande
234,propuestas maynez agradan mucho malo tanta difusion
235,voto maynez agrada mas propuestas
236,tambien ponganse pensar propuestas dos candidatos fantasiosas aun maynes diga ser gradual contradiga
237,maynez estarian perfectas si construyera diera pierdan empleo refinerias
238,maynez mejores propuestas si demas dejaran fanatismo partidos iguales contendientes
239,maynez siii
240,mc prian empiecen dejando usar cosas hechas petroleo refinado empezando celular
241,maynes maynes maynes presidente
242,maynez va lugar
243,datos correctos da maynez segundo lugar mejor
244,pues espere ver debates decidi votar maynez
245,despues maynez supero
246,pues crees haciendo maynez esperando hueso
247,maynez presidente
248,nadie vota mayne
249,empate tecnico cochilt maynez
250,ja jaja va tercer lugar maynes ja ja ja
251,maynez presidente
252,escuchate favor luego andan chillando alcanza nada cualquier momento puedo ir pais vas quedar aqui pobre
253,voy maynez vamos maynez
254,sucede si puede ser buen candidato porcentaje ciudadanos elijiran valdria pena votar alguien posibilidad real ganar
255,chale unico bot maynez si pal taco
256,voto mc maynez
257,maynez mejor opcion nadie conoce
258,necesitamos votar maynez familia
259,experiencia maynez
260,regidor diputado local diputado federal coordinador bancada naranja recuerda politica sabes si rodeas
261,vamos maynez
262,maynez empieza ser opcion viable
263,necesariamente si mc obtiene mas votacion aunque gane tendria mas espacio senado diputados siendo contrapeso congreso
264,tambien queria samuel justamente maynez coordinador campana buen perfil
265,imagino si pues ves viable votar maynez
266,maynez bro conferencias
267,maynez propuestas sector salud buenas realistas
268,investiga maynez propuestas realidad buenas si pensamos opcion votamos puede ganar
269,maynez unico cuerdo parecer
270,maynez partidos pasa sabe
271,nadie acuerda jorge jajajaja
272,si votaria si movimiento ciudadano
273,digo maynez
274,maynez opcion mas cercana
275,voto maynez
276,cayo bien maynez
277,si aqui perfil jorge alvarez maynez
278,voto maynez
279,naranjas podridas van basura
280,propuestas maynez
281,tambien maynez checalo
282,dinero alcanza mientras movimiento va ven siempre trabaje si primera ganancia olvidemoslo regla negocio gana reinvierte gana asi consecut
283,malo partido mete presidencia sacas anos buena opcion claudia xochil vamos movimiento ciudadano
284,maynez mal convence si pais mal
285,votar maynez suena bien sabemos si va salir bien podria salir peor
286,vota maynez padre santo
287,dije solucion saber morena solucion nada prian tampoco movimiento ciudadano menos tan mal solo buscamos menos peor
288,sinceramente ayuden adultos mayores bien sabemos xochitl haria bien dijo fox dudo haga movimiento naranja
289,miedo gente estupida piense opcion viable pais momento morena
290,miedo persona voten maynes solo meme pena
291,ay si horror menos voten movimiento ciudadano
292,jajajja miedo el futuro pais los jovenes vayan votar maynes solo cancion pq les cae bien
293,miedo q vayan prian movimiento ciudadano
294,miedo van maynez ask
295,solo afirmas dolar perdio valor peor momento peso sexenio pena nieto si podria comprar kg
296,dolar aprecia especulacion inversionistas solo explicar actividad economica cualquier momento vuelve llegar
297,mintio cifras percepcion seguridad tema pandemia cierto uso conejo indias ciudadanos usando ivermectina medicamento parasitos
298,dejo usaran ciudadanos covid fundamento cientifico sirviera si sabes microbiologia farmacologia clasificaciones bacterias virus parasito hongos
299,jajajaj creeme dinero bastante verdad momento insulte simplemente aunque dieran dinero cambiaria bien si afecta demas
300,mejor opcion pri pan saben movimiento naranja narco mas raras movimiento tan solo vean alfaro tantos millones robo covid lemus socio
301,si checas puro escasos recurso ninguno dijo mc
302,movimiento ciudadano si vamos morena crezca pagaras dan ahora
303,entonces regresar robadera prian juventud vota prian viejos puro morena movimiento ciudadano
304,movimiento ciudadano
305,mejor maynes jaja gracioso hacen votar populismo
306,cobra beca si dejas estudiar w menos poli momento das baja dictaminas sacan programa sacas estudian cobran
307,debe haber conocido momento dictaminar darse baja quitaron beca luego luego reclama entrega hicieron mal uso beca
308,movimiento ciudadano
309,cosa saber propuestas trae maynez querer darle oportunidad partido politico diferente
310,broma visto puro nino quiere votar maynez solo pos canciones memes final argumentan q buenas propuestas
311,maynez maynez maynez presidente
312,pueblo pa miarda ciudadania pueblo pa ignorantes miardas narcos
313,voto claudia dependo ningun partido apoyo tarjeta algun momento tarjeta ayuda uso abue depositaban cada meses
314,votar maynez hacerlo mas decir
315,payaso sebe q sabe controla maynez
316,estan gdl ninguno dijo mc
317,si centramos gdl nadie votaria mc
318,momento intente coercion si quieres seguir good voto libre
319,caso ido mc fosfo fosfo asi
320,maynez supone menos experiencia mejor expreso expuso propuestas maynez esfuerza partido siendo nuevo maynez vequecumple loque dice
321,cierto maynez
322,maynez indefenso lobos rodearan comeran falta muchisimo cree varita magica va arreglar
323,concluyas maynez cae bien apesar ser mentirosa apoyes indica claramente pensando razonablemente
324,creo si populismo dirian movimiento ciudadano canciones chidas
325,gracias otra si investigo mejor maynez
326,jajakaakakkakakaajajja maynez
327,maynez jajajajajajajajajajaja
328,pues hace falta investigar poquito mas dejas guiar solo visto maynez cada quien voto secreto animo
329,populismo maynez
330,jaja si varias propuestas mainez estan requiere mas investigacion
331,quejas populismo igual solo conociste mainez cancion
332,wey dicen morena guadalaja movimiento ciudadano gobernador completo p ndejo ratero xd
333,ustedes maynez cancion pedorra
334,ojala den mas difusion maynez buen candidato
335,menos peor jorge maynez
336,no maynez dijo seguiran apoyos sociales
337,maynez fifi va llevar quiebra
338,maynez creo mejor opcion
339,maynez maynez maynez presidente
340,digo maynez mejor creo quede mexico ano quiere presidenta presidente
341,votar maynez entonces
342,quisiera votar maynes
343,creo maynez mejor candidato tipo estudios espero gane
344,maynez paso partidos
345,maynez maynez maynez presidente
346,tal vez si mainez movimiento ciudadano tal vez seria gran propuesta mientras vamos claudia
347,malo movimiento ciudadano propuestas da campana mejor dos
348,movimiento ciudadano enredado polemicas dirigentes consiguiente unico sostiene gubernaturas si existiria
349,obviamente maynez poniendo prioridad jovenes
350,mas preparado ahi ser presidente estudios maynes
351,maynez barba parece dado jaja
352,maynez maynez maynez presidente
353,claudia jefa gobierno momento mandaron inspeccionar escuela mandaron reporte aceptaron directora tenia hacer arreglos
354,maynez maynez maynez presidente
355,mejor maynez
356,maynez maynez maynez presidente
357,maynez maynez maynez presidente
358,maynez tan solo propuestas importante debate
359,maynez maynez maynez presidente
360,voto maynez hace falta algun joven
361,maynes solo candidato relleno
362,claro maynez candidato haciendo campanana manera hace mientras iniciaron campanana siendo manera ilegal corrupta llegar presiden
363,maynez mas limpio santo no
364,vamos mejor jorge alvarez maynez
365,supuesto maynez
366,samuel si maynez
367,maynez mejor opcion verdad
368,presidente maynez
369,maynez maynezmaynez presidente
370,maynez mejor
371,siento alvarez mailnes desventaja enorme ingreso tarde competencia siento estaria ganando chochil
372,correcto pusieron publicidad registros incluso maynez acaba comenzar marca ley si creo va dar vuelta
373,maynez buena opcion
374,san juan rio amigas invitando ofrecio ningun momento algun pago ir
375,justo habia pensado hablan gastan millones pesos descaro pedir ciudadanos trabaja dia dia menos mil ano
376,gracias mc candidato propuestas innovadoras van elecciones ojala pierdan registro
377,pues si cambio importante mc pan naranja
378,cualquier ciudadano puede ser politico problema radica dedazos mayoria politicos solo van brincado puesto
379,samuel mando titere representar movimiento naranja
380,q momento enoje xd solo puse fans botarga
381,xochitl presidenta jorge maynez presidente
382,voy votar maynez mas sienta tan triste
383,maynez ssni
384,confundas haciendo copia campana pinochet claudia momento tan fuerte delincuencia tubo bal
385,candidata dijo abrazos delincuentes balazos ciudadanos
386,si bebe perfecto morenista priista panista naranja solo persona deja cegar proyectos sociales realidad mexico viviendo peores ano
387,esfuerzo organico natural ciudadano saludos catella
388,si impresionante ver cantidad lunch despues basura dejaron ciudadanos
389,muestra alguna prueba esten repartiendo dinero ayer presenten ningun momento ofrecio algun monto economico
390,suma no va ganar participacion ciudadana saludos gaby
391,aveces olvida maynez existe
392,maynez pregunta seria
393,candidato movimiento ciudadano presidente mismo partido encaja pueblo
394,maynez figura nada
395,ciudadanos mexicanos desean ser presidentes mueven masas compran voluntades verdad seca
396,favor acarreados pan morena movimiento ciudadano
397,movimiento ciudadano va registrar presentar candidato presidencia ya quitaron samuel aun candidato
398,loke pasa culpa mc echan culpa alopes culpa autoridades jalisco usted lode malo nomas estan encontra
399,jalisco entra ejercito gn alfaro autoriza entonces dices rollo mc xd
400,jalisco gobierna mc jaja
401,diciendo mc vale madre mismo
402,maynez presidente
403,tambien movimiento ciudadano no mienta senor
404,movimiento ciudadano puras mentiras
405,movimiento ciudadano
406,minimo segundo lugar casi desaparecer priand segundo lugar mc
407,ahora recorre mexico mc
408,vamos mayne
409,vamos maynez
410,aqui bot mayoria ciudadanos nivel nacional extranjeros corrupcion
411,creo mas facil anular votos bro verdad vale pena votar nadie mujeres menos movimiento ciudadano
412,toco votar wey mc
413,creo seria votar movimiento ciudadano
414,maynez que xd
415,pues jorge maynez
416,maynes jajaja
417,maynez candidato mov ciudadano entonces checar bien q podemos hacer
418,votar com buen ciudadano
419,movimiento ciudadano
420,pues movimiento ciudadano tal vez ganen asi damos voto gusta
421,bota maynes
422,votar maynez
423,votar unico hombre elecciones movimiento ciudadano permitamos poder mujer
424,votar mc hacerse
425,digo volver votar cantinflas asi este momento lit si habia gente votaba jajajajaja
426,ruina momento
427,problema ciudadanos vamos ojos cerrados tras politicos abriremos ojos
428,mejor maynez movimiento ciudadano
429,momento leyendo
430,confundas haciendo copia campana pinochet claudia momento tan fuerte delincuencia tubo bal
